2018_airportRank,Airports,IATACode,City,State,2018,2017,2016,2015,2014,website,img_link
31,Dallas Love Field,DAL,Dallas,TX,8134848,7876769,7554596,7040921,4522341,https://www.dallas-lovefield.com/,https://images.fineartamerica.com/images-medium-large-5/dal-dallas-airport-poster-4-irina-march.jpg
32,Nashville International Airport,BNA,Nashville,TN,8007049,7015119,6338517,5708852,5396958,https://www.nashville-airport.com/,https://www.nashville-airport.com/images/logo/logo-d.png
33,Austin-Bergstrom International Airport,AUS,Austin,TX,7921797,6973115,6095545,5797547,5219982,http://www.austintexas.gov/airport,http://www.austintexas.gov/sites/default/files/aiba_logo.png
34,St. Louis Lambert International Airport,STL,St. Louis,MO,7822274,7372805,6793076,6239231,6108758,https://www.flystl.com/,https://www.flystl.com/uploads/STL-Welcome-Logo-new.svg
35,Norman Y. Mineta San Josa International Airport,SJC,San Jose,CA,7140616,6225148,5321603,4885690,4621003,https://www.flysanjose.com/,https://www.flysanjose.com/sites/default/files/logo.png
36,William P. Hobby Airport,HOU,Houston,TX,6937061,6741870,6285181,5937944,5800726,https://www.fly2houston.com/hou/overview/,https://d14ik00wldmhq.cloudfront.net/media/filer_public/5c/11/5c11969b-f074-4c9d-8c9a-61ad1196c86a/1148204-has_logo_stacked-_color.png
37,Oakland International Airport,OAK,Oakland,CA,6798321,6530308,5934639,5506672,5069257,https://www.oaklandairport.com/airlines/flight-status/,https://www.oaklandairport.com/wp-content/themes/airport/images/logo-white.png
38,Louis Armstrong New Orleans International Airport,MSY,New Orleans,LA,6565482,6005527,5569705,5329696,4870569,http://www.flymsy.com/,http://www.flymsy.com/Images/Interior/logos/airport_logo_with_side_text_bw.jpg
39,Raleigh-Durham International Airport,RDU,Raleigh/Durham,NC,6416822,5851004,5401714,4954717,4673869,https://www.rdu.com/,https://www.rdu.com/wp-content/themes/rdu/images/rdu-logo-blue.jpg
40,Sacramento International Airport,SMF,Sacramento,CA,6031630,5460526,4969366,4816440,4384616,https://sacramento.aero/smf,https://pbs.twimg.com/profile_images/903059026300215296/0nLGAS29_400x400.jpg
41,Kansas City International Airport,MCI,Kansas City,MO,5935131,5744918,5391557,5135127,4982722,https://www.flykci.com/,https://www.flykci.com/images/logo.png
42,John Wayne Airport,SNA,Santa Ana,CA,5317149,5195047,5217242,4945175,4584147,https://www.san.org/,https://www.san.org/Portals/0/san-diego-airport-logo.png
43,San Antonio International Airport,SAT,San Antonio,TX,5028785,4521611,4179994,4091389,4046856,http://infax.com/mobile/sat/,http://www.aguillon-associates.com/wp-content/uploads/2018/08/SAT-Alternative-Logo-V2-02-300x195.png
44,Cleveland Hopkins International Airport,CLE,Cleveland,OH,4836580,4562740,4205739,4083476,3686315,https://www.clevelandairport.com/,https://pbs.twimg.com/profile_images/1017473459905949696/mIpMDvNN.jpg
45,Southwest Florida International Airport,RSW,Fort Myers,FL,4719468,4461304,4277214,4159212,3942387,https://www.flylcpa.com/,https://www.flylcpa.com/img/logo-rsw.png
46,Indianapolis International Airport,IND,Indianapolis,IN,4695040,4376432,4216766,3889567,3605908,https://www.ind.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Indianapolis_International_Airport_Logo.svg/1280px-Indianapolis_International_Airport_Logo.svg.png
47,Pittsburgh International Airport,PIT,Pittsburgh,PA,,4327431,3986114,3890677,3827860,https://www.flypittsburgh.com/,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Pittsburgh_International_Airport_2016_logo.svg/1200px-Pittsburgh_International_Airport_2016_logo.svg.png
48,Cincinnati/Northern Kentucky International Airport,CVG,Cincinnati/Covington,OH/KY,,3926158,3269979,3036697,2874684,https://www.cvgairport.com/,https://www.cvgairport.com/images/default-source/default-album/cvglogo2x.png?sfvrsn=0
49,John Glenn Columbus International Airport,CMH,Columbus,OH,4054572,3765007,3567864,3312496,3115501,https://flycolumbus.com/,https://columbusairports.com/storage/staging/20171103153430-home-ourairports-cmhlogo-rgb.jpeg
50,Milwaukee Mitchell International Airport,MKE,Milwaukee,WI,3548817,3452544,3383271,3229876,3228607,https://www.mitchellairport.com/,https://www.mitchellairport.com/application/files/3015/6778/7921/mke-airport-og.jpg
51,Kahului Airport,OGG,Kahului,HI,,3442189,3352813,3220753,3019338,http://airports.hawaii.gov/ogg/,https://images-na.ssl-images-amazon.com/images/I/416WEt7wqPL.jpg
52,Bradley International Airport,BDL,Hartford,CT,3330734,3214976,2982194,2926047,2913380,https://bradleyairport.com/,http://www.usaflightinsurance.com/wp-content/uploads/zzct.jpg
53,Palm Beach International Airport,PBI,West Palm Beach,FL,3263042,3166532,3100624,3113485,2926242,http://www.pbia.org/about/,http://www.pbia.org/includes/public/assets/shared/placeholder.png
54,Jacksonville International Airport,JAX,Jacksonville,FL,3118540,2759067,2799587,2716465,2589198,http://www.flyjacksonville.com/Home.aspx,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_pad,h_370,q_70,w_560/https://assets.simpleviewinc.com/simpleview/image/upload/crm/flaglercountyfl/jax-airport-logo-95a73b7f5056a36_95a73c54-5056-a36a-064b6f9fb9b8cb2a.png"
55,Birmingham Shuttlesworth International Airport,BHM,Birmingham,AL,2972776,2705014,2652233,2695520,2624662,https://www.flybirmingham.com/,https://pbs.twimg.com/profile_images/1044694866591023104/57gK2IB4.jpg
56,Ted Stevens Anchorage International Airport,ANC,Anchorage,AK,,2556188,2563524,2525876,2381826,https://www.anchorage-airport.com/,https://i.pinimg.com/originals/2a/1b/2f/2a1b2f202676954ad114dde0bdc021b3.jpg
57,Albuquerque International Sunport,ABQ,Albuquerque,NM,,2483861,2341719,2323850,2354184,http://www.dot.state.ak.us/anc/,https://abqsunport.com/wp-content/themes/abq/img/logo.png
58,Hollywood Burbank Airport,BUR,Burbank,CA,,2365361,2104625,1972531,1931948,https://abqsunport.com/,https://pbs.twimg.com/profile_images/860249541651464192/R7WZ3I9J.jpg
59,Buffalo Niagara International Airport,BUF,Buffalo,NY,,2348463,2313724,2331545,2378469,http://www.buffaloairport.com/,https://parking.buffaloairport.com/wp-content/uploads/bnia-logo.png
60,Eppley Airfield,OMA,Omaha,NE,,2303223,2127387,2046155,2020354,https://www.flyoma.com/,https://upload.wikimedia.org/wikipedia/en/9/9b/OMA_Eppley_Airfield_Logo.png
61,Ontario International Airport,ONT,Ontario,CA,,2247645,2127387,2089801,2037346,https://www.flyontario.com/,https://www.flyontario.com/sites/default/files/ont-square-icon-white-thumb.jpg
